StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,alc_val_task_debrief_1,alc_val_task_debrief_2,alc_val_task_debrief_3,alc_val_task_debrief_4,alc_val_task_debrief_5,alc_val_task_debrief_6,alc_val_task_debrief_7,alc_val_task_debrief_8,open_debrief,pID,cond
2020-11-13 16:22:17,2020-11-13 16:23:33,0,100,76,1,2020-11-13 16:23:33,R_QaaYdqYYYMiShUJ,,,,,anonymous,EN,6,2,6,5,3,2,6,5,No,435002,1
2020-11-13 16:26:46,2020-11-13 16:27:36,0,100,50,1,2020-11-13 16:27:36,R_3MSZjuLHzPN1YI1,,,,,anonymous,EN,6,3,6,6,5,7,2,7,shouldve been slower,434995,30
2020-11-13 16:41:49,2020-11-13 16:43:06,0,100,77,1,2020-11-13 16:43:06,R_24GmvDIdMZayTyH,,,,,anonymous,EN,6,2,6,6,2,5,5,6,I liked the interaction in the test,435029,15
2020-11-13 17:05:07,2020-11-13 17:06:20,0,100,72,1,2020-11-13 17:06:20,R_27airp0KgnLQpds,,,,,anonymous,EN,7,1,6,6,1,3,3,6,,435045,8
2020-11-13 17:07:04,2020-11-13 17:07:51,0,100,47,1,2020-11-13 17:07:52,R_VLwDwDQFjuRdsQ1,,,,,anonymous,EN,6,2,6,3,2,2,6,5,,435047,18
2020-11-13 17:08:58,2020-11-13 17:09:52,0,100,53,1,2020-11-13 17:09:52,R_1JOATYIKQHmHZIR,,,,,anonymous,EN,7,2,6,7,2,2,6,6,This alcohol task was a great experience for me to find out my tastes and preferences in different drinking situations. ,435044,9
2020-11-13 17:10:11,2020-11-13 17:10:52,0,100,40,1,2020-11-13 17:10:52,R_1N3cgN0uCPFeTG0,,,,,anonymous,EN,7,1,7,5,5,3,2,5,,435053,30
2020-11-13 17:13:58,2020-11-13 17:15:34,0,100,96,1,2020-11-13 17:15:34,R_1BVZJm1BOtTndDm,,,,,anonymous,EN,2,1,5,3,5,2,3,3,At times it moved a bit too fast to really evaluate what was shown ,435052,15
2020-11-13 17:17:18,2020-11-13 17:18:19,0,100,60,1,2020-11-13 17:18:19,R_2qDkbpwyNAWJyzA,,,,,anonymous,EN,7,3,6,7,2,2,7,7,,435054,25
2020-11-13 17:16:11,2020-11-13 17:18:47,0,100,155,1,2020-11-13 17:18:47,R_vJowXIZwHLKSdSp,,,,,anonymous,EN,2,5,3,2,7,5,4,4,"Sometimes I gave low answers for things because I thought the drink choice was gross not because of how I felt about a drink after seeing the Instagram post, for example, Echo Falls doesn't go well with any situation. ",434972,6
2020-11-13 17:22:23,2020-11-13 17:23:33,0,100,69,1,2020-11-13 17:23:33,R_bxcKi8QX27AjqGl,,,,,anonymous,EN,6,1,6,5,4,2,6,7,,435056,30
2020-11-13 17:21:46,2020-11-13 17:25:51,0,100,244,1,2020-11-13 17:25:51,R_2WuSSjPzKwlMCjA,,,,,anonymous,EN,6,2,7,2,4,5,3,3,,435046,11
2020-11-13 17:22:07,2020-11-13 17:26:01,0,100,233,1,2020-11-13 17:26:01,R_1gelw9ioymFp9da,,,,,anonymous,EN,3,4,6,6,5,5,2,6,"When displaying images of ""negative consequences"" before ""partying"" images, I think respondents will have a negative connotation to drinking and may not respond accurately to the ""partying"" images as they still retain the consequences in their heads.",435055,11
2020-11-13 17:25:15,2020-11-13 17:27:02,0,100,107,1,2020-11-13 17:27:02,R_3hARprS43BnxMTp,,,,,anonymous,EN,2,2,6,2,3,2,5,2,I strongly dislike tequila and Heineken as a brand,435057,26
2020-11-13 17:28:07,2020-11-13 17:29:23,0,100,75,1,2020-11-13 17:29:23,R_0f6NwbssNZ0Nqkp,,,,,anonymous,EN,7,5,6,3,5,2,5,3,the choice of drinks affected my decisions more than the images at times,435048,31
2020-11-13 17:36:09,2020-11-13 17:37:07,0,100,58,1,2020-11-13 17:37:07,R_3rG6k9KwrNTY6u6,,,,,anonymous,EN,6,1,6,5,5,2,5,5,,435042,18
2020-11-13 17:36:36,2020-11-13 17:37:52,0,100,76,1,2020-11-13 17:37:52,R_28J6YS3Q9LeGuQC,,,,,anonymous,EN,1,6,2,1,7,6,1,1,,435062,31
2020-11-13 17:39:42,2020-11-13 17:41:56,0,100,133,1,2020-11-13 17:41:56,R_1CE29rGdSwRFNBq,,,,,anonymous,EN,5,1,7,2,3,1,4,1,Wider variety of alcoholic beverages - I barely/don't drink half of them,435061,2
2020-11-13 17:41:32,2020-11-13 17:42:17,0,100,45,1,2020-11-13 17:42:17,R_2WNfFfWM7yzxLoI,,,,,anonymous,EN,4,5,6,3,5,2,3,2,,435063,15
2020-11-13 17:52:06,2020-11-13 17:53:59,0,100,113,1,2020-11-13 17:53:59,R_1KxR8WhIon1NkbG,,,,,anonymous,EN,3,3,4,5,5,5,3,5,,435066,27
2020-11-13 18:07:34,2020-11-13 18:09:52,0,100,138,1,2020-11-13 18:09:53,R_1eElxqUvbMURccf,,,,,anonymous,EN,6,2,4,4,4,2,3,5,I would only use one brand of a particular brand. Some people have different preferences for beer or another drink.,435078,10
2020-11-13 18:39:02,2020-11-13 18:40:38,0,100,95,1,2020-11-13 18:40:38,R_3qBCtYkPj7z7HIn,,,,,anonymous,EN,7,1,6,6,4,2,4,6,"I found the survey really interesting, but maybe you could speed up to pauses between the pictures:)",434998,13
2020-11-13 18:57:11,2020-11-13 18:58:11,0,100,59,1,2020-11-13 18:58:11,R_1QAFfK3ITWBBbbR,,,,,anonymous,EN,7,1,7,5,2,1,6,5,Not really,435089,15
2020-11-13 19:02:48,2020-11-13 19:04:21,0,100,93,1,2020-11-13 19:04:21,R_12ndXBgpeNSuWxP,,,,,anonymous,EN,5,2,5,3,2,4,4,5,I have a bad memory with some beverages presented that is why I have rated them low,435090,3
2020-11-13 19:21:31,2020-11-13 19:23:47,0,100,135,1,2020-11-13 19:23:47,R_1fcLlRujr1jgDSq,,,,,anonymous,EN,6,1,6,6,3,4,2,6,"No, it was a fun task. ",435101,23
2020-11-13 19:25:18,2020-11-13 19:26:31,0,100,73,1,2020-11-13 19:26:32,R_3O3cunloItXZHpb,,,,,anonymous,EN,4,4,3,3,5,5,3,3,,434989,31
2020-11-13 19:26:38,2020-11-13 19:28:50,0,100,131,1,2020-11-13 19:28:50,R_5pegIDZsvwDjavL,,,,,anonymous,EN,7,1,6,5,2,1,6,5,I consider that the preference for the type of beverage does not depend on the picture shown as I personally replied based on my usual preferences.,435097,6
2020-11-13 19:26:59,2020-11-13 19:30:23,0,100,203,1,2020-11-13 19:30:23,R_3KI4Mr1L4RAUSEC,,,,,anonymous,EN,7,1,7,7,1,1,7,7,,435098,27
2020-11-13 19:31:21,2020-11-13 19:32:49,0,100,87,1,2020-11-13 19:32:49,R_3dRJuc16ISDqcEk,,,,,anonymous,EN,6,1,6,6,5,3,5,6,,435105,3
2020-11-13 19:54:13,2020-11-13 19:55:10,0,100,57,1,2020-11-13 19:55:11,R_3wNZMNY6J0Levlv,,,,,anonymous,EN,5,3,6,4,2,2,6,5,,435100,2
2020-11-13 20:22:14,2020-11-13 20:23:21,0,100,66,1,2020-11-13 20:23:21,R_3nV0Zapvjw5DG8u,,,,,anonymous,EN,7,1,7,5,2,7,3,7,,435058,30
2020-11-13 19:04:50,2020-11-13 20:25:36,0,100,4845,1,2020-11-13 20:25:36,R_O2qm5hI3FkLNLcB,,,,,anonymous,EN,3,1,6,1,3,2,4,3,Did not totally understand if it meant that after seeing this picture would you like to have this drink today or if it meant that when you're in the place of the picture would you to have a certain drink in that moment. ,435092,26
2020-11-13 18:10:59,2020-11-13 20:43:14,0,100,9135,1,2020-11-13 20:43:15,R_2xQbhyoPHwZnIhy,,,,,anonymous,EN,4,1,5,4,4,2,4,4,,435080,27
